split,split_filename,config_i,context,dropout,ensemble_size,features,learning_rate,merge_method,n_hidden,n_units,residual_depth,data,cache,labels,structure_column,epochs,batch_size,val_data,rmse,pearson_r,spearman_rho,model_class,n_parameters
training,data/train/train/data.csv,0,,0.0,3,[['clogp']],1e-05,product,1,8,2,data/train/train/data.csv,.,['endpoint_value'],SMILES,1000,16,data/train/validation/data.csv,1.8480497598648071,0.1831830267951014,0.16771619991286119,bilinear-fp,98835
validation,data/train/validation/data.csv,0,,0.0,3,[['clogp']],1e-05,product,1,8,2,data/train/train/data.csv,.,['endpoint_value'],SMILES,1000,16,data/train/validation/data.csv,1.4947229623794556,0.3666709274671748,0.3830488752884038,bilinear-fp,98835
test,data/train/test/data.csv,0,,0.0,3,[['clogp']],1e-05,product,1,8,2,data/train/train/data.csv,.,['endpoint_value'],SMILES,1000,16,data/train/validation/data.csv,2.0177230834960938,0.24372166543274554,0.22933814383664666,bilinear-fp,98835
training,data/train/train/data.csv,100,['endpoint:hash'],0.0,3,[['clogp']],1e-05,product,4,8,2,data/train/train/data.csv,.,['endpoint_value'],SMILES,1000,16,data/train/validation/data.csv,0.8923604488372803,0.8805180570522493,0.8639200428028205,bilinear-fp,347361
validation,data/train/validation/data.csv,100,['endpoint:hash'],0.0,3,[['clogp']],1e-05,product,4,8,2,data/train/train/data.csv,.,['endpoint_value'],SMILES,1000,16,data/train/validation/data.csv,1.0894821882247925,0.7954008906215423,0.6475315153586629,bilinear-fp,347361
test,data/train/test/data.csv,100,['endpoint:hash'],0.0,3,[['clogp']],1e-05,product,4,8,2,data/train/train/data.csv,.,['endpoint_value'],SMILES,1000,16,data/train/validation/data.csv,1.1055630445480347,0.8425432311309642,0.8340499279028007,bilinear-fp,347361
training,data/train/train/data.csv,101,['endpoint:hash'],0.0,3,[['clogp']],1e-05,product,8,8,2,data/train/train/data.csv,.,['endpoint_value'],SMILES,1000,16,data/train/validation/data.csv,0.8387471437454224,0.8950650092533443,0.8832696708342115,bilinear-fp,350673
validation,data/train/validation/data.csv,101,['endpoint:hash'],0.0,3,[['clogp']],1e-05,product,8,8,2,data/train/train/data.csv,.,['endpoint_value'],SMILES,1000,16,data/train/validation/data.csv,1.1123926639556885,0.7784134394241632,0.6556184440339566,bilinear-fp,350673
test,data/train/test/data.csv,101,['endpoint:hash'],0.0,3,[['clogp']],1e-05,product,8,8,2,data/train/train/data.csv,.,['endpoint_value'],SMILES,1000,16,data/train/validation/data.csv,1.087052345275879,0.8471969416756977,0.8414902893000161,bilinear-fp,350673
training,data/train/train/data.csv,102,['endpoint:hash'],0.0,3,[['clogp']],1e-05,product,1,64,2,data/train/train/data.csv,.,['endpoint_value'],SMILES,1000,16,data/train/validation/data.csv,0.7885494828224182,0.9077677797416319,0.8987754028368321,bilinear-fp,1840377
validation,data/train/validation/data.csv,102,['endpoint:hash'],0.0,3,[['clogp']],1e-05,product,1,64,2,data/train/train/data.csv,.,['endpoint_value'],SMILES,1000,16,data/train/validation/data.csv,1.1195337772369385,0.7885654035718987,0.6496295391505633,bilinear-fp,1840377
test,data/train/test/data.csv,102,['endpoint:hash'],0.0,3,[['clogp']],1e-05,product,1,64,2,data/train/train/data.csv,.,['endpoint_value'],SMILES,1000,16,data/train/validation/data.csv,1.0512495040893555,0.8576301211181854,0.8527443161693844,bilinear-fp,1840377
training,data/train/train/data.csv,103,['endpoint:hash'],0.0,3,[['clogp']],1e-05,product,4,64,2,data/train/train/data.csv,.,['endpoint_value'],SMILES,1000,16,data/train/validation/data.csv,0.7867721915245056,0.9081887734385322,0.8982842523050824,bilinear-fp,1959657
validation,data/train/validation/data.csv,103,['endpoint:hash'],0.0,3,[['clogp']],1e-05,product,4,64,2,data/train/train/data.csv,.,['endpoint_value'],SMILES,1000,16,data/train/validation/data.csv,1.1116658449172974,0.7871091247182548,0.6545674755549687,bilinear-fp,1959657
test,data/train/test/data.csv,103,['endpoint:hash'],0.0,3,[['clogp']],1e-05,product,4,64,2,data/train/train/data.csv,.,['endpoint_value'],SMILES,1000,16,data/train/validation/data.csv,1.0540815591812134,0.8568134631904686,0.8515923035741965,bilinear-fp,1959657
training,data/train/train/data.csv,104,['endpoint:hash'],0.0,3,[['clogp']],1e-05,product,8,64,2,data/train/train/data.csv,.,['endpoint_value'],SMILES,1000,16,data/train/validation/data.csv,0.8149306774139404,0.9011472389058865,0.8903160911210348,bilinear-fp,1974057
validation,data/train/validation/data.csv,104,['endpoint:hash'],0.0,3,[['clogp']],1e-05,product,8,64,2,data/train/train/data.csv,.,['endpoint_value'],SMILES,1000,16,data/train/validation/data.csv,1.08345365524292,0.7919089093068364,0.6600261742309003,bilinear-fp,1974057
test,data/train/test/data.csv,104,['endpoint:hash'],0.0,3,[['clogp']],1e-05,product,8,64,2,data/train/train/data.csv,.,['endpoint_value'],SMILES,1000,16,data/train/validation/data.csv,1.0615651607513428,0.8545843027900426,0.8490465615110587,bilinear-fp,1974057
training,data/train/train/data.csv,105,['endpoint:hash'],0.0,3,[['clogp']],1e-05,product,1,128,2,data/train/train/data.csv,.,['endpoint_value'],SMILES,1000,16,data/train/validation/data.csv,0.7788425087928772,0.9102644465485032,0.9016206115365091,bilinear-fp,3765561
validation,data/train/validation/data.csv,105,['endpoint:hash'],0.0,3,[['clogp']],1e-05,product,1,128,2,data/train/train/data.csv,.,['endpoint_value'],SMILES,1000,16,data/train/validation/data.csv,1.135656714439392,0.7880213121993686,0.6523395852642826,bilinear-fp,3765561
test,data/train/test/data.csv,105,['endpoint:hash'],0.0,3,[['clogp']],1e-05,product,1,128,2,data/train/train/data.csv,.,['endpoint_value'],SMILES,1000,16,data/train/validation/data.csv,1.0484156608581543,0.8583905639701417,0.8536161030241588,bilinear-fp,3765561
training,data/train/train/data.csv,106,['endpoint:hash'],0.0,3,[['clogp']],1e-05,product,4,128,2,data/train/train/data.csv,.,['endpoint_value'],SMILES,1000,16,data/train/validation/data.csv,0.7807181477546692,0.9097168813352945,0.9008191296994165,bilinear-fp,3894441
validation,data/train/validation/data.csv,106,['endpoint:hash'],0.0,3,[['clogp']],1e-05,product,4,128,2,data/train/train/data.csv,.,['endpoint_value'],SMILES,1000,16,data/train/validation/data.csv,1.1180461645126343,0.7837970231549776,0.6552860667962359,bilinear-fp,3894441
test,data/train/test/data.csv,106,['endpoint:hash'],0.0,3,[['clogp']],1e-05,product,4,128,2,data/train/train/data.csv,.,['endpoint_value'],SMILES,1000,16,data/train/validation/data.csv,1.0494396686553955,0.8582317234728515,0.8536582476599429,bilinear-fp,3894441
training,data/train/train/data.csv,107,['endpoint:hash'],0.0,3,[['clogp']],1e-05,product,8,128,2,data/train/train/data.csv,.,['endpoint_value'],SMILES,1000,16,data/train/validation/data.csv,0.7590029835700989,0.9148743820797893,0.9065352516111925,bilinear-fp,3921513
validation,data/train/validation/data.csv,107,['endpoint:hash'],0.0,3,[['clogp']],1e-05,product,8,128,2,data/train/train/data.csv,.,['endpoint_value'],SMILES,1000,16,data/train/validation/data.csv,1.113781213760376,0.7829258803847207,0.6601347305536166,bilinear-fp,3921513
test,data/train/test/data.csv,107,['endpoint:hash'],0.0,3,[['clogp']],1e-05,product,8,128,2,data/train/train/data.csv,.,['endpoint_value'],SMILES,1000,16,data/train/validation/data.csv,1.0436044931411743,0.8598569698584885,0.855496331004228,bilinear-fp,3921513
training,data/train/train/data.csv,108,['endpoint:hash'],0.0,3,[['clogp']],1e-05,product,1,8,2,data/train/train/data.csv,.,['endpoint_value'],SMILES,1000,16,data/train/validation/data.csv,1.5011924505233765,0.6107482772015711,0.6272832794430746,bilinear-fp,8307
validation,data/train/validation/data.csv,108,['endpoint:hash'],0.0,3,[['clogp']],1e-05,product,1,8,2,data/train/train/data.csv,.,['endpoint_value'],SMILES,1000,16,data/train/validation/data.csv,1.5830531120300293,0.48092685431866933,0.476812092210513,bilinear-fp,8307
test,data/train/test/data.csv,108,['endpoint:hash'],0.0,3,[['clogp']],1e-05,product,1,8,2,data/train/train/data.csv,.,['endpoint_value'],SMILES,1000,16,data/train/validation/data.csv,1.6558165550231934,0.5970224076657344,0.6139607373929568,bilinear-fp,8307
training,data/train/train/data.csv,109,['endpoint:hash'],0.0,3,[['clogp']],1e-05,product,4,8,2,data/train/train/data.csv,.,['endpoint_value'],SMILES,1000,16,data/train/validation/data.csv,1.5002974271774292,0.6866540137278256,0.6665353839810612,bilinear-fp,11811
validation,data/train/validation/data.csv,109,['endpoint:hash'],0.0,3,[['clogp']],1e-05,product,4,8,2,data/train/train/data.csv,.,['endpoint_value'],SMILES,1000,16,data/train/validation/data.csv,1.458573341369629,0.5108922214690085,0.4838575631431737,bilinear-fp,11811
test,data/train/test/data.csv,109,['endpoint:hash'],0.0,3,[['clogp']],1e-05,product,4,8,2,data/train/train/data.csv,.,['endpoint_value'],SMILES,1000,16,data/train/validation/data.csv,1.7165788412094116,0.6598672746665315,0.651313571217123,bilinear-fp,11811
training,data/train/train/data.csv,10,,0.0,3,[['clogp']],1e-05,product,4,8,2,data/train/train/data.csv,.,['endpoint_value'],SMILES,1000,16,data/train/validation/data.csv,1.8442869186401367,0.19512537815026165,0.17927532668597296,bilinear-fp,200115
validation,data/train/validation/data.csv,10,,0.0,3,[['clogp']],1e-05,product,4,8,2,data/train/train/data.csv,.,['endpoint_value'],SMILES,1000,16,data/train/validation/data.csv,1.4786077737808228,0.35315965886021633,0.38162688139073503,bilinear-fp,200115
test,data/train/test/data.csv,10,,0.0,3,[['clogp']],1e-05,product,4,8,2,data/train/train/data.csv,.,['endpoint_value'],SMILES,1000,16,data/train/validation/data.csv,2.016115188598633,0.23913213105900386,0.2248251039716112,bilinear-fp,200115
training,data/train/train/data.csv,110,['endpoint:hash'],0.0,3,[['clogp']],1e-05,product,8,8,2,data/train/train/data.csv,.,['endpoint_value'],SMILES,1000,16,data/train/validation/data.csv,1.4445319175720215,0.6428560318435331,0.6543821519125063,bilinear-fp,15123
validation,data/train/validation/data.csv,110,['endpoint:hash'],0.0,3,[['clogp']],1e-05,product,8,8,2,data/train/train/data.csv,.,['endpoint_value'],SMILES,1000,16,data/train/validation/data.csv,1.4894391298294067,0.5455543632790254,0.5348061069435507,bilinear-fp,15123
test,data/train/test/data.csv,110,['endpoint:hash'],0.0,3,[['clogp']],1e-05,product,8,8,2,data/train/train/data.csv,.,['endpoint_value'],SMILES,1000,16,data/train/validation/data.csv,1.6079920530319214,0.6232993665931941,0.6451671893166816,bilinear-fp,15123
training,data/train/train/data.csv,111,['endpoint:hash'],0.0,3,[['clogp']],1e-05,product,1,64,2,data/train/train/data.csv,.,['endpoint_value'],SMILES,1000,16,data/train/validation/data.csv,1.2605682611465454,0.7419039384525772,0.707331768971404,bilinear-fp,108939
validation,data/train/validation/data.csv,111,['endpoint:hash'],0.0,3,[['clogp']],1e-05,product,1,64,2,data/train/train/data.csv,.,['endpoint_value'],SMILES,1000,16,data/train/validation/data.csv,1.4466878175735474,0.6708428812262237,0.5305181042676498,bilinear-fp,108939
test,data/train/test/data.csv,111,['endpoint:hash'],0.0,3,[['clogp']],1e-05,product,1,64,2,data/train/train/data.csv,.,['endpoint_value'],SMILES,1000,16,data/train/validation/data.csv,1.4552907943725586,0.7046164074526786,0.6864230431585251,bilinear-fp,108939
training,data/train/train/data.csv,112,['endpoint:hash'],0.0,3,[['clogp']],1e-05,product,4,64,2,data/train/train/data.csv,.,['endpoint_value'],SMILES,1000,16,data/train/validation/data.csv,1.269484281539917,0.737554775037964,0.7077053877577276,bilinear-fp,120843
validation,data/train/validation/data.csv,112,['endpoint:hash'],0.0,3,[['clogp']],1e-05,product,4,64,2,data/train/train/data.csv,.,['endpoint_value'],SMILES,1000,16,data/train/validation/data.csv,1.410342812538147,0.686349096747661,0.5467316162165266,bilinear-fp,120843
test,data/train/test/data.csv,112,['endpoint:hash'],0.0,3,[['clogp']],1e-05,product,4,64,2,data/train/train/data.csv,.,['endpoint_value'],SMILES,1000,16,data/train/validation/data.csv,1.4612598419189453,0.7016662426495107,0.6866182712233174,bilinear-fp,120843
training,data/train/train/data.csv,113,['endpoint:hash'],0.0,3,[['clogp']],1e-05,product,8,64,2,data/train/train/data.csv,.,['endpoint_value'],SMILES,1000,16,data/train/validation/data.csv,1.2875069379806519,0.731191933824998,0.6985328998691015,bilinear-fp,135243
validation,data/train/validation/data.csv,113,['endpoint:hash'],0.0,3,[['clogp']],1e-05,product,8,64,2,data/train/train/data.csv,.,['endpoint_value'],SMILES,1000,16,data/train/validation/data.csv,1.48949134349823,0.5798360774756123,0.48700020997480425,bilinear-fp,135243
test,data/train/test/data.csv,113,['endpoint:hash'],0.0,3,[['clogp']],1e-05,product,8,64,2,data/train/train/data.csv,.,['endpoint_value'],SMILES,1000,16,data/train/validation/data.csv,1.4755630493164062,0.6998624582983693,0.6780277573728122,bilinear-fp,135243
training,data/train/train/data.csv,114,['endpoint:hash'],0.0,3,[['clogp']],1e-05,product,1,128,2,data/train/train/data.csv,.,['endpoint_value'],SMILES,1000,16,data/train/validation/data.csv,1.2580426931381226,0.7439938093429045,0.7098327492950408,bilinear-fp,316107
validation,data/train/validation/data.csv,114,['endpoint:hash'],0.0,3,[['clogp']],1e-05,product,1,128,2,data/train/train/data.csv,.,['endpoint_value'],SMILES,1000,16,data/train/validation/data.csv,1.44430410861969,0.655330930423206,0.5219425582773468,bilinear-fp,316107
test,data/train/test/data.csv,114,['endpoint:hash'],0.0,3,[['clogp']],1e-05,product,1,128,2,data/train/train/data.csv,.,['endpoint_value'],SMILES,1000,16,data/train/validation/data.csv,1.459364652633667,0.7046796014463662,0.6893061235182942,bilinear-fp,316107
training,data/train/train/data.csv,115,['endpoint:hash'],0.0,3,[['clogp']],1e-05,product,4,128,2,data/train/train/data.csv,.,['endpoint_value'],SMILES,1000,16,data/train/validation/data.csv,1.305946707725525,0.7194794866003605,0.6920366254856161,bilinear-fp,337611
validation,data/train/validation/data.csv,115,['endpoint:hash'],0.0,3,[['clogp']],1e-05,product,4,128,2,data/train/train/data.csv,.,['endpoint_value'],SMILES,1000,16,data/train/validation/data.csv,1.459915280342102,0.6277486876851003,0.5319456051656465,bilinear-fp,337611
test,data/train/test/data.csv,115,['endpoint:hash'],0.0,3,[['clogp']],1e-05,product,4,128,2,data/train/train/data.csv,.,['endpoint_value'],SMILES,1000,16,data/train/validation/data.csv,1.4835379123687744,0.6911202086740985,0.6745330992586854,bilinear-fp,337611
training,data/train/train/data.csv,116,['endpoint:hash'],0.0,3,[['clogp']],1e-05,product,8,128,2,data/train/train/data.csv,.,['endpoint_value'],SMILES,1000,16,data/train/validation/data.csv,1.2887651920318604,0.728010968714107,0.6961452612110288,bilinear-fp,364683
validation,data/train/validation/data.csv,116,['endpoint:hash'],0.0,3,[['clogp']],1e-05,product,8,128,2,data/train/train/data.csv,.,['endpoint_value'],SMILES,1000,16,data/train/validation/data.csv,1.4311175346374512,0.6500017515377982,0.5163422755402417,bilinear-fp,364683
test,data/train/test/data.csv,116,['endpoint:hash'],0.0,3,[['clogp']],1e-05,product,8,128,2,data/train/train/data.csv,.,['endpoint_value'],SMILES,1000,16,data/train/validation/data.csv,1.4677233695983887,0.6970750999352682,0.6770781598208548,bilinear-fp,364683
training,data/train/train/data.csv,117,['endpoint:hash'],0.0,3,[['clogp']],1e-05,product,1,8,2,data/train/train/data.csv,.,['endpoint_value'],SMILES,1000,16,data/train/validation/data.csv,1.1958774328231812,0.7723264087552394,0.7347103241619506,bilinear-fp,217203
validation,data/train/validation/data.csv,117,['endpoint:hash'],0.0,3,[['clogp']],1e-05,product,1,8,2,data/train/train/data.csv,.,['endpoint_value'],SMILES,1000,16,data/train/validation/data.csv,1.2971950769424438,0.7094793045359693,0.5468779266181562,bilinear-fp,217203
test,data/train/test/data.csv,117,['endpoint:hash'],0.0,3,[['clogp']],1e-05,product,1,8,2,data/train/train/data.csv,.,['endpoint_value'],SMILES,1000,16,data/train/validation/data.csv,1.3926103115081787,0.7354618268890754,0.7167429837876406,bilinear-fp,217203
training,data/train/train/data.csv,118,['endpoint:hash'],0.0,3,[['clogp']],1e-05,product,4,8,2,data/train/train/data.csv,.,['endpoint_value'],SMILES,1000,16,data/train/validation/data.csv,1.3317804336547852,0.7355670028183631,0.7251725770317942,bilinear-fp,319011
validation,data/train/validation/data.csv,118,['endpoint:hash'],0.0,3,[['clogp']],1e-05,product,4,8,2,data/train/train/data.csv,.,['endpoint_value'],SMILES,1000,16,data/train/validation/data.csv,1.288735032081604,0.6931910004183928,0.5445971929162287,bilinear-fp,319011
